accession_number	call_number	title	author	book_place	book_publisher	year	book_edition	description	book_isbn	book_supplementary	subject
5775	BC 1083 M1121 2012 c.5	Elements of logic an integrative approach	"Maboloc, Christopher Ryan B."	Manila City	Rex Book Store	2012	Revised Edition	169 pages ; illustrations ; 23 cm	9.78971E+12		"Logic -- Textbooks.
Logic -- Study and teaching (Higher)"
5776	BC 1083 M1121 2012 c.6	Elements of logic an integrative approach	"Maboloc, Christopher Ryan B."	Manila City	Rex Book Store	2012	Revised Edition	169 pages ; illustrations ; 23 cm	9.78971E+12		"Logic -- Textbooks.
Logic -- Study and teaching (Higher)"
2892	BC 177 A1541 2006                  	Philosophy and Logic :  A Guide to Correct Reasoning	"Aborot, Mark Edward P."	Philippines	Books Atbp. Publishing Corp.	2006	na	158 pages ; illustrations ; 23 cm	9710388290		Reasoning--Study and teaching. Logic--study and teaching. Philosophy--study and teaching.
5498	BC 177 D666 2014 	Rudiments of Reasoning	"Domingo, Emmanuel R. "	Mandaluyong City	Books Atbp. Publishing Corp.	2014	na	240 pages ; illustrations ; 22 cm	9710412440		
2881	BC 59 B9281 2004                  	The art of critical thinking : logic for Filipino students	"Buenaflor, Lionel E."	Philippines	Books Atbp. Publishing Corp.	2004	N/A	263 pages ; illustration ; 23 cm	9710388011		Logic--Study and teaching. Reasoning--study and teaching. Criticial thinking--study and teaching.
5199	BC 71 B116 1957 c.2	Introduction to logic	"Bachhuber, Andrew H."	Philippines	National Book Store	1957	N/A	332 pages ; illustrations ; 19cm	9710813005		Logic
3667	BC 71 B116 1992  c.5	Introduction to Logic	M.T Camacho Jr.	Philippines	"[s.l,]"	1992	N/A	N/A			Logic
1489	BC 71 B123 1957	Introduction to logic	"Bachhuber, Andrew"	Philippines	 National Book Store	1957	N/A	N/A	9710813005		Logic
3792	BC 71 B1249 1957	Introduction to Logic	"Bachhuber, Andrew"	Philippines	 National Book Store	1957	N/A	N/A	9710813005		Logic
1472	BC 71 C781 2010	Introduction to logic	"Copi, Irving M."	Singapore	Pearson Education South Asia	2010	NA	NA	9.78981E+12		Logic
1474	BC 71 C781 2010 c.3	Introduction to logic	"Copi, Irving M."	Singapore	Pearson Education South Asia	2010	NA	NA	9.78981E+13		Logic
1475	BC 71 C781 2010 c.4	Introduction to logic 	"Copi, Irving M."	Singapore	Pearson Education South Asia	2010	13th	670 pages ; illustrations ; 24 cm 	9.78981E+12		Logic
1476	BC 71 C781 2010 c.5	Introduction to logic 	"Copi, Irving M."	Singapore	Pearson Education South Asia	2010	13th 	670 pages ; illustrations ; 24 cm 	9.78981E+12		Logic
1477	BC 71 C781 2010 c.6	Introduction to logic 	"Copi, Irving M."	Singapore	Pearson Education South Asia	2010	13th 	670 pages ; illustrations ; 24 cm 	9.78981E+12		Logic
1478	BC 71 C781 2010 c.7	Introduction to logic 	"Copi, Irving M."	Singapore	Pearson Education South Asia	2010	13th 	670 pages ; illustrations ; 24 cm 	9.78981E+12		Logic
1479	BC 71 C7911 2010 c.8	Introduction to logic 	"Copi, Irving M."	USA	"Macmillan Publishing Co., Inc"	1978	NA	NA	23248807		Logic
1462	BC 71 D477 1995	Handbook-workbook in logic	"De Sunga, Ma. Cecillia"	Philippines	[s.l.]	1995	NA	NA	na		Logic
1491	BC 71 L8311 1970	Logic formulation learning guide	Systems Technology Institute	Philippines	Systems Technology Institute	2010	na	na	na		Logic
1494	BC 71 S9957 1970 c.2	Logic formulation learning guide 	Systems Technology Institute	Philippines	Systems Technology Institute	2007	na	na	na		Logic
1504	BC71 [s.n] 1970	Logic 	[s.n.]	[s.l.]	[s.l.]	2010	na	na	na		Logic
1486	BD 21 B356 1970	Self :  dissecting the anatomy of man's philosophy	"Bayle, Victor Antonio V."	Caloocan City	MMRC Publication	2010	NA	182 pages ; 22 cm	NA		Philosophy
